id;jhi_year;satisfactionitem;score;opinion;totalscore;surveytime;customer;plonenumber;filename
1;17458;gosh buzzard;527;inclusion gadzooks;4541;2024-10-21;吐 journalism for;清楚 failing;大方 row
2;10314;轻松;21995;搜 finally 软;12587;2024-10-20;抬;among but 硬;可 though
3;30622;抬;5708;大方 beside wit;21896;2024-10-20;光 finally;渐渐;physical toward 搜
4;16556;扭;7449;pier 依然 stall;20028;2024-10-20;in lifetime;or;aside woot
5;11514;till excluding;13737;although whenever before;2279;2024-10-20;索性 摔;above 勇敢 haunt;consequently
6;20445;生动 难道 classmate;28935;island;16863;2024-10-21;bah till;guava until;unlike 插 where
7;20796;via;9252;血淋淋 geez bamboo;24526;2024-10-21;扭 because;app till curtain;仅 摔 rake
8;18573;down mansion barring;12011;全 不;16647;2024-10-20;queen hm oh;roadway;why
9;25485;不;24723;更加;1199;2024-10-20;boohoo;好些 spleen;opposite throughout
10;26920;split 没;25075;regarding even wrecker;29179;2024-10-20;拨 摔 大方;yum;血淋淋 几乎
