id;officersid;officersname;projectid;projectname;projectrole;jobgrade;departmentid;departmentname;frontlineid;frontlinename;jobduty;annualworktime;annualtasktarget
1;拿 bah for;驾驶;22600;oh boohoo;仿佛 or gateway;dragonfruit ugh;提 gadzooks to;finally cluster;so gah 全部;lest;拣 摸;10384;towards
2;behind 黑不溜秋;按 amidst which;23435;against pinkie;握 最;全 攥 最;生动;brr what 干脆;following;hence from 倒;incidentally 笔直 along;9426;gosh
3;wisteria;next 血淋淋;19392;聪明;渐渐 喝 粗;撑 anenst;meanwhile;on;净;innovation;until;2401;whoa a 劈
4;马虎 if;pudding 净 hm;6723;past 简直 yowza;zowie which 好在;必然 up 鲁莽;refund 没;粗 towards neuropsychiatry;扭;却;or;10269;aha of
5;披;比较 indeed 撞;23256;不;whether vice briefly;rib 逐步;while into unless;for;撑 forenenst 仍然;oh 跳;更加;32677;woot
6;伟大 雪白;百般;12918;一同 likewise 毅然;摔 across;必定;几乎;扭 absent gadzooks;likewise 拆;托;长 professor out;16598;platelet 平常
7;优秀 but likewise;全部 pneumonia;29866;绿油油 关闭 nor;unto;马虎 必定;now after 必定;倒;duh nor 绿;till 插 while;笔直 unlike;15652;whereas even
8;um;significance besides eponym;26147;小 血淋淋 including;though 好在;挡 finally;反正 inasmuch;勇敢 joint yet;yowza sans phooey;几乎 since 拍;撕;8210;gah 一味 尽
9;bah 必定 坏;捧 including 平常;10852;鲁莽 boar that;after;撕 duh;黑不溜秋 画;共;brr dough 擒;tights 捡;咬 uncle;8327;macaw equality huzzah
10;捉 干脆;惟独 渐渐;12447;蠕动;which;what cartel 挡;几乎 擅自;woot;ugh;whose before;tinderbox 绿油油 except;7647;ugh unless
