id;safetycheckname;checksource;checktime;effectivetime;operatinglocation;deprotment;phonenumber;risklevel;audit_status
bbfc770a-7715-41fa-bdfc-4ce4525cb986;provided;yuck chemotaxis 只;2024-06-24;2024-06-24;捡 扶;though planet modem;12089;Two;Not_Audited
0357671a-e2db-4979-939c-b451652244a9;轻松;besides 共 incidentally;2024-06-24;2024-06-25;the reader 熟练;who 拿;21067;One;Approved
dc426d0f-c5c1-4eba-9dab-2d18d4445b4a;with;血淋淋;2024-06-24;2024-06-25;bah;拖;25075;Five;Approved
6d55ca57-7a58-4359-810e-bfc125cc72c9;略微;hm;2024-06-24;2024-06-24;earring 血淋淋 fort;into against;3373;Five;Not_Audited
4e4b8b97-e137-4cd0-95c5-a13498a1953d;yum 整;hmph 血淋淋;2024-06-24;2024-06-25;ginseng founding 捏;like;21800;Three;In_Audit
e705a81b-62b8-4821-a163-210b79586c63;平常 gah yahoo;furthermore 偏偏;2024-06-24;2024-06-24;甜 捉;驾驶;22790;Four;In_Audit
98efc336-fcda-4447-a7bf-3d2efcfb885e;indeed oof;短;2024-06-25;2024-06-24;consequently whereas;following;774;Four;Approved
377da33c-4453-406d-995a-63d1409f2d8d;why next;yahoo;2024-06-24;2024-06-24;wherever 幸亏;仅仅 敲;8238;Four;In_Audit
270f1c15-0cc3-49fc-b291-783b79ad3f1f;failing or handrail;behalf;2024-06-24;2024-06-25;manicure;yuck;3977;Five;In_Audit
8356e056-8be0-4649-96f6-adaa159638eb;优秀 多亏 按;because 吞;2024-06-24;2024-06-24;马虎 好;拆 against;32462;Two;Not_Audited
